id;Q1- What is your gender?;Q2- Which age group do you belong to?;City;Country;Center (e.g: Univeristy of …., Institute of ….,….);Type (Public/Private);Q3- What is the highest level of education you have completed?;Q4- How many years have you worked in sports statistics in academia?;Q5- Wich best describes your profile?;Q6- Do you currently belong to a sports statistics research group?;Research group name;Link of center or research group;Number of members of research group;Total number of citations in Google Scholar;Total number of citations in Google Scholar since 2018;Total number of citations acording to H-index;Total number of citations acording to H-index since 2018;Number of citations of the article with most citations;Q7- What sport have you worked on the most on a statistical level? (Select all that apply);Number of sports studied
11;Male;30-44;Nagoya;Japan;University of Nagoya;Public;Mater's degree;3-4 years;Full-time academic of sports statistics/analytics field;Yes;Sports Behavior Group;https://takedalab.g.sp.m.is.nagoya-u.ac.jp/groups/sports-behavior-group;17;330;323;5;4;267;Basketball,Tennis,Rugby;3
12;Male;30-44;Salerno;Italy;University of Salerno;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;236;234;10;10;38;Tennis;1
13;Male;30-44;Melbourne;Australia;University La Trobe ;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;516;492;10;9;160;Soccer,Australian Football;3
14;Male;45-59;Linköping;Sweeden;University of Linköping;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;Sports analytics at LiU;https://www.ida.liu.se/research/sportsanalytics/;3;2734;1260;28;19;191;Basketball,Soccer,Ice Hockey;3
15;Male;45-59;Brescia;Italy;University of Brescia;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;BigData Analytics in Sports;https://bodai.unibs.it/bdsports/;60;944;509;18;14;63;Soccer;1
16;Male;30-44;Vic;Spain;University of Vic;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;USJ Statistics in Sports Research Group;http://science.sjp.ac.lk/sta/statistics-in-sports-research-group/;12;1895;1292;28;22;147;Basketball,Soccer,Tennis;3
17;Male;30-44;Pisa;Italy;University of Pisa;Public;Doctorate or PhD;5 years or more;Academic sports statistician with years of expertise and contributions, but currently working in the sports industry;No;No research group ;No research group ;0;1121;992;15;15;195;Soccer,Cycling;2
18;Male;45-59;Burnaby;Canada;University of Simon Fraser ;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;Sports Analytics Group;http://www.sfu.ca/sportsanalytics.html;6;1193;491;14;13;162;Soccer,Running,Cycling;3
19;Male;45-59;Barcelona;Spain;Polytechnic University of Catalonia;Public;Doctorate or PhD;3-4 years;Part-time sports statistician in academia and part-time in the sports industry;No;No research group ;No research group ;0;963;695;14;13;228;Soccer,Tennis;1
20;Male;30-44;Madrid;Spain;University IE;Private;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;540;343;12;11;116;Basketball,Soccer,Running;3
21;Male;30-44;Madison;United States;University of Wisonsin-Madison;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;396;349;10;9;116;Basketball,Baseball,American Football;3
